0,continent
Australia,OC
Belgium,EU
Cambodia,AS
Canada,North America
Finland,EU
France,EU
Germany,EU
Hong Kong,AS
India,AS
Italy,EU
Japan,AS
Macau,AS
China,AS
Malaysia,AS
Nepal,AS
Others,other
Philippines,AS
Russia,EU
Singapore,AS
South Korea,AS
Spain,EU
Sri Lanka,AS
Sweden,EU
Taiwan,AS
Thailand,AS
United States of America,North America
United Kingdom,EU
United Arab Emirates,AS
Vietnam,AS
Germany,EU
Canada,North America
Singapore,AS
Hong Kong,AS
Switzerland,EU
Thailand,AS
Vietnam,AS
Taiwan,AS
United Kingdom,EU
Spain,EU
United States of America,North America
Italy,EU
Ireland,EU
France,EU
China,AS
Romania,EU
Australia,OC
Brazil,SA
Malaysia,AS
Kuwait,AS
South Africa,AF
Indonesia,AS
Philippines,AS
Sweden,EU
India,AS
Mongolia,AS
South Korea,AS
Macau,AS
New Zealand,OC
Colombia,SA
Finland,EU
Russia,EU
United States of America,North America
United Kingdom,EU
Turkey,AS
Thailand,AS
Switzerland,EU
Sweden,EU
Spain,EU
Russia,EU
Portugal,EU
Poland,EU
Philippines,AS
Peru,SA
Panama,North America
Norway,EU
New Zealand,OC
Netherlands,EU
Mexico,North America
Malaysia,AS
South Korea,AS
Japan,AS
Italy,EU
Israel,AS
Ireland,EU
India,AS
Guatemala,North America
Greece,EU
Germany,EU
France,EU
Finland,EU
El Salvador,North America
Ecuador,SA
Denmark,EU
Cuba,North America
Costa Rica,North America
Colombia,SA
China,AS
Chile,SA
Canada,North America
Brazil,SA
Belgium,EU
Austria,EU
Australia,OC
Argentina,SA
Kuwait,AS
Iceland,EU
Honduras,North America
Singapore,AS
Bahrain,AS
Uruguay,SA
Slovakia,EU
Romania,EU
Dominican Rep.,North America
Czechia,EU
Vietnam,AS
Venezuela,SA
Paraguay,SA
Jamaica,North America
Hungary,EU
Estonia,EU
Cyprus,AS
Bolivia,SA
Bahamas,North America
Nicaragua,North America
Lebanon,AS
Egypt,AF
Bulgaria,EU
Saudi Arabia,AS
Luxembourg,EU
Barbados,North America
United Arab Emirates,AS
Trinidad and Tobago,North America
Dominica,North America
Cayman Islands,North America
Ukraine,EU
Gaza Strip,AS
Morocco,AF
Yemen,AS
Jersey,EU
Isle of Man,EU
Sri Lanka,AS
Samoa,OC
Qatar,AS
Jordan,AS
U.S. Virgin Islands,North America
Bermuda,North America
Suriname,SA
South Africa,AF
Papua New Guinea,OC
Oman,AS
Netherlands Antilles,North America
Laos,AS
Martinique,North America
French Polynesia,OC
Slovenia,EU
Fiji,OC
Brunei,AS
Bangladesh,AS
Algeria,AF
Vanuatu,OC
Tunisia,AF
Montenegro,EU
Latvia,EU
Ethiopia,AF
C̫te d'Ivoire,AF
Cape Verde,AF
Cambodia,AS
Antigua and Barbuda,North America
Guernsey,EU
Serbia,EU
Iran,AS
Indonesia,AS
Nepal,AS
Lithuania,EU
Iraq,AS
Saint Lucia,North America
Myanmar,AS
Mauritius,AF
Kenya,AF
Uganda,AF
Palau,OC
Aruba,North America
Malta,EU
Bosnia and Herz.,EU
Puerto Rico,North America
Macedonia,EU
Syria,AS
Libya,AF
Guyana,SA
New Caledonia,OC
Guadeloupe,North America
Croatia,EU
Cook Islands,OC
