,Country,Latitude,Longitude,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Virus
0,Australia,-24.7761086,134.755,0.0,0.0,0.0,0.0,0.0,8.0,15.0,15.0,17.0,9.0,9.0,12.0,12.0,12.0,25.0,27.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,Coronavirus
1,Belgium,50.6402809,4.6667145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Coronavirus
2,Cambodia,13.5066394,104.869423,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Coronavirus
3,Canada,61.0666922,-107.9917071,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,2.0,4.0,4.0,4.0,4.0,8.0,9.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,Coronavirus
4,Finland,63.2467777,25.9209164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Coronavirus
5,France,46.603354,1.8883335,0.0,0.0,0.0,2.0,9.0,6.0,9.0,11.0,14.0,5.0,5.0,6.0,6.0,6.0,12.0,12.0,12.0,12.0,22.0,22.0,22.0,22.0,22.0,22.0,Coronavirus
6,Germany,51.0834196,10.4234469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,4.0,5.0,7.0,10.0,10.0,24.0,24.0,24.0,26.0,26.0,28.0,28.0,30.0,32.0,32.0,Coronavirus
7,Hong Kong,22.2793278,114.1628131,0.0,0.0,2.0,4.0,15.0,16.0,24.0,24.0,30.0,10.0,12.0,13.0,15.0,15.0,33.0,42.0,45.0,51.0,52.0,65.0,76.0,98.0,100.0,106.0,Coronavirus
8,India,22.3511148,78.6677428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Coronavirus
9,Italy,42.6384261,12.674297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Coronavirus
10,Japan,36.5748441,139.2394179,1.0,2.0,2.0,4.0,6.0,8.0,12.0,21.0,25.0,11.0,15.0,17.0,20.0,20.0,42.0,67.0,90.0,50.0,50.0,52.0,52.0,52.0,56.0,56.0,Coronavirus
11,Macau,22.1757605,113.5514142,0.0,1.0,2.0,4.0,6.0,11.0,18.0,21.0,21.0,7.0,7.0,7.0,8.0,8.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,Coronavirus
12,China,12.9336731,77.6215853,325.0,547.0,639.0,1781.0,4698.0,4799.0,10097.0,16074.0,19818.0,8124.0,9783.0,11860.0,17114.0,20014.0,44690.0,52408.0,56173.0,65784.0,71818.0,77392.0,82506.0,87311.0,104492.0,123664.0,Coronavirus
13,Malaysia,4.5693754,102.2656823,0.0,0.0,0.0,0.0,9.0,8.0,12.0,15.0,21.0,8.0,8.0,8.0,8.0,8.0,18.0,22.0,24.0,24.0,32.0,34.0,36.0,36.0,36.0,38.0,Coronavirus
14,Nepal,28.1083929,84.0917139,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Coronavirus
15,Others,14.1688266,121.2415369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,122.0,128.0,199.0,270.0,350.0,393.0,Coronavirus
16,Philippines,12.7503486,122.7312101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Coronavirus
17,Russia,64.6863136,97.7453061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Coronavirus
18,Singapore,1.357107,103.8194992,0.0,0.0,1.0,4.0,9.0,8.0,14.0,21.0,24.0,10.0,13.0,18.0,18.0,18.0,42.0,52.0,56.0,60.0,73.0,83.0,88.0,92.0,97.0,116.0,Coronavirus
19,South Korea,36.638392,127.6961188,0.0,1.0,1.0,3.0,6.0,6.0,12.0,12.0,12.0,4.0,11.0,12.0,15.0,15.0,31.0,39.0,46.0,60.0,49.0,52.0,54.0,56.0,56.0,56.0,Coronavirus
20,Spain,39.3262345,-4.8380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,Coronavirus
21,Sri Lanka,7.5554942,80.7137847,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Coronavirus
22,Sweden,59.6749712,14.5208584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Coronavirus
23,Taiwan,23.9739374,120.9820179,1.0,1.0,1.0,4.0,9.0,8.0,15.0,24.0,24.0,9.0,10.0,10.0,10.0,10.0,21.0,22.0,29.0,32.0,34.0,36.0,36.0,36.0,36.0,36.0,Coronavirus
24,Thailand,14.8971921,100.83273,2.0,2.0,3.0,9.0,19.0,16.0,24.0,42.0,42.0,14.0,19.0,19.0,19.0,19.0,44.0,50.0,50.0,50.0,64.0,64.0,64.0,65.0,66.0,66.0,Coronavirus
25,United States,54.7023545,-3.2765753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,6.0,11.0,16.0,17.0,18.0,Coronavirus
26,United Kingdom,39.7837304,-100.4458825,1.0,1.0,1.0,3.0,6.0,10.0,15.0,15.0,15.0,5.0,7.0,7.0,8.0,10.0,22.0,23.0,24.0,24.0,24.0,24.0,24.0,26.0,26.0,29.0,Coronavirus
27,United Arab Emirates,24.0002488,53.9994829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,4.0,5.0,5.0,10.0,10.0,10.0,10.0,14.0,14.0,15.0,16.0,16.0,16.0,Coronavirus
28,Vietnam,13.2904027,108.4265113,0.0,0.0,2.0,4.0,6.0,4.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,8.0,16.0,18.0,20.0,20.0,26.0,27.0,28.0,30.0,30.0,32.0,Coronavirus
